계정코드,기표여부,사용여부,계정과목,제조,판관
6421320,1,0,6421320 -Trợ cấp thôi việc – nhân viên,0,1
6421400,1,0,6421400 -Chi phí nhân viên quản lý- Lương thời vụ,0,1
6421500,1,0,6421500 -Chi phí nhân viên quản lý- Other wellfare,0,1
6421600,0,0,6421600 -Trợ cấp hưu trí,0,1
6421610,1,0,6421610 -Trợ cấp hưu trí - Ban giám đốc,0,1
6421620,1,0,6421620 -Trợ cấp hưu trí - Nhân viên,0,1
6421700,1,0,6421700 -Chi phí phúc lợi,0,1
6422000,1,0,6422000 -Chi phí vật liệu quản lý,0,1
6423000,1,0,6423000 -Chi phí đồ dùng văn phòng,0,1
6424000,0,0,6424000 -Chi phí khấu hao TSCĐ,0,1
6424100,1,0,"6424100 -Chi phí khấu hao TSCĐ- Nhà cửa, vật kiến trúc",0,1
6424200,1,0,"6424200 -Chi phí khấu hao TSCĐ- Máy móc, thiết bị",0,1
6424300,1,0,"6424300 -Chi phí khấu hao TSCĐ- Phương tiện vận tải, truyền dẫn",0,1
6424400,1,0,"6424400 -Chi phí khấu hao TSCĐ- Thiết bị, dụng cụ quản lý",0,1
6424500,1,0,6424500 -Chi phí khấu hao TSCĐ- Tài sản hữu hình khác(O/E),0,1
6424600,1,0,6424600 -Chi phí khấu hao TSCĐ- Thuê tài chính xe,0,1
6424700,1,0,6424700 -Chi phí khấu hao TSCĐ- Lease- Building,0,1
6424800,1,0,6424800 -Chi phí khấu hao TSCĐ- Tài sản hữu hình khác,0,1
6424900,0,0,6424900 -Chi phí khấu hao TSCĐ - Vô hình,0,1
6424910,1,0,6424910 -CPKH TSVH -Quyền sử dụng đất,0,1
6424920,1,0,6424920 -CPKH TSVH -Quyền phát hành,0,1
6424930,1,0,"6424930 -CPKH TSVH -Bản quyền, bằng sáng chế",0,1
6424940,1,0,"6424940 -CPKH TSVH -Nhãn hiệu, tên thương mại",0,1
6424950,1,0,6424950 -CPKH TSVH -Chương trình phần mềm,0,1
6424960,1,0,6424960 -CPKH TSVH -Giấy phép và giấy phép nhượng quyền,0,1
6424990,1,0,6424990 -CPKH TSVH -TSCĐ vô hình khác,0,1
6425000,1,0,"6425000 -Thuế, phí và lệ phí",0,1
6426000,1,0,6426000 -Chi phí dự phòng,0,1
6427000,0,0,6427000 -Chi phí dịch vụ mua ngoài,0,1
6427110,0,0,"6427110 -Chi phí dịch vụ mua ngoài- Nhiên liệu, Điện, nước",0,1
6427111,1,0,"6427111 -Chi phí nước, điện, nhiên liệu - Tiền nước",0,1
6427112,1,0,"6427112 -Chi phí nước, điện, nhiên liệu - Tiền điện",0,1
6427120,0,0,6427120 -Chi phí dịch vụ mua ngoài- Đi lại,0,1
6427121,1,0,6427121 -Chi phí đi lại - Công tác trong nước (Công ty),0,1
6427122,1,0,6427122 -Chi phí đi lại - Công tác trong nước (Khác),0,1
6427123,1,0,6427123 -Chi phí đi lại - Công tác nước ngoài,0,1
6427124,1,0,6427124 -Chi phí đi lại - Chi phí đi lại hàng ngày (Khác),0,1
6427125,1,0,6427125 -Chi phí đi lại - (Khác),0,1
6427130,1,0,"6427130 -Chi phí dịch vụ mua ngoài- Sửa chữa, bảo dưỡng, xăng dầu",0,1
6427140,1,0,"6427140 -Chi phí dịch vụ mua ngoài- Điện thoại, mạng,...",0,1
6427150,1,0,"6427150 -Chi phí dịch vụ mua ngoài- Tư vấn luật, kế toán, kiểm toán",0,1
6427160,1,0,6427160 -Chi phí dịch vụ mua ngoài- Tư vấn dịch vụ khác,0,1
6427170,1,0,6427170 -Chi phí dịch vụ mua ngoài- Thuê khách sạn,0,1
6427180,0,0,6427180 -Chi phí dịch vụ mua ngoài- Tiếp khách,0,1
6427181,1,0,6427181 -Chi phí tiếp khách - Ăn uống,0,1
6427182,1,0,6427182 -Chi phí tiếp khách -Hiếu hỷ,0,1
6427183,1,0,6427183 -Chi phí tiếp khách - Thông thường,0,1
6427190,1,0,6427190 -Chi phí dịch vụ mua ngoài- Phí ngân hàng,0,1
6427210,1,0,6427210 -Chi phí dịch vụ mua ngoài- Thuê văn phòng HN,0,1
6427220,1,0,6427220 -Chi phí dịch vụ mua ngoài_Golf tiếp khách,0,1
6427230,1,0,6427230 -Chi phí dịch vụ mua ngoài khác,0,1
6427240,1,0,6427240 -Chi phí dịch vụ mua ngoài_Dịch vụ bảo vệ,0,1
6427250,1,0,6427250 -Chi phí dịch vụ mua ngoài_Dịch thuật,0,1
6427260,1,0,6427260 -Chi phí dịch vụ mua ngoài_Dịch vụ bưu chính,0,1
6427270,1,0,"6427270 -Chi phí dịch vụ mua ngoài_Thuê máy photocopy, thuê thiết bị, thuê khác,....",0,1
6427280,1,0,6427280 -Chi phí dịch vụ mua ngoài_Phí bảo lãnh,0,1
6427290,1,0,6427290 -Chi phí dịch vụ mua ngoài_Chi phí chuyển phát nhanh Postage,0,1
6427310,0,0,6427310 -Chi phí dịch vụ mua ngoài_Mạng,0,1
6427311,1,0,6427311 -Chi phí viễn thông - Đường truyền riêng trong nước,0,1
6427312,1,0,6427312 -Chi phí viễn thông - Bưu phí,0,1
6427313,1,0,6427313 -Chi phí viễn thông - Khác,0,1
6427320,1,0,6427320 -Chi phí dịch vụ mua ngoài_Chi phí tiền thuê đất,0,1
6427330,1,0,"6427330 -Chi phí dịch vụ mua ngoài_Chi phí quan trắc, phân tích mẫu",0,1
6427340,0,0,6427340 -Chi phí hỗ trợ kỹ thuật và chuyển giao công nghệ,0,1
6427341,1,0,6427341 -Chi phí hỗ trợ kỹ thuật,0,1
6427342,1,0,6427342 -Chi phí chuyển giao công nghệ,0,1
6428000,0,0,6428000 -Chi phí bằng tiền khác,0,1
6428110,1,0,6428110 -Chi phí bằng tiền khác,0,1
6428120,0,0,6428120 -Chi phí bảo hiểm,0,1
6428121,1,0,"6428121 -Chi phí bảo hiểm - Bảo hiểm tai nạn lao động, bảo hiểm thất nghiệp",0,1
6428122,1,0,6428122 -Chi phí bảo hiểm - Xe cộ,0,1
6428123,1,0,6428123 -Chi phí bảo hiểm - Tòa nhà,0,1
6428124,1,0,6428124 -Chi phí bảo hiểm - Thông thường,0,1
6428130,0,0,6428130 -Chi phí duy trì xe cộ,0,1
6428131,1,0,6428131 -Chi phí duy trì xe cộ - Nhiên liệu,0,1
6428132,1,0,6428132 -Chi phí duy trì xe cộ - Chi phí quản lý,0,1
6428133,1,0,6428133 -Chi phí duy trì xe cộ - Thông thường,0,1
6428134,1,0,6428134 -Chi phí duy trì xe cộ - Thuế ô tô,0,1
6428140,0,0,6428140 -Chi phí vận chuyển,0,1
6428141,1,0,6428141 -Chi phí vận chuyển - Vận chuyển nội địa,0,1
6428142,1,0,6428142 -Chi phí vận chuyển - Vận chuyển quốc tế,0,1
6428143,1,0,6428143 -Chi phí vận chuyển - Khác,0,1
6428150,0,0,6428150 -Chi phí đào tạo,0,1
6428151,1,0,6428151 -Chi phí đào tạo - Bên ngoài,0,1
6428160,0,0,"6428160 -Chi phí sách báo, in ấn",0,1
6428161,1,0,"6428161 -Chi phí sách báo, in ấn",0,1
6428170,0,0,6428170 -Chi phí vật tư tiêu hao,0,1
6428171,1,0,6428171 -Chi phí vật tư tiêu hao - Trang thiết bị,0,1
6428172,1,0,6428172 -Chi phí vật tư tiêu hao - Văn phòng phẩm,0,1
6428173,1,0,6428173 -Chi phí vật tư tiêu hao - Đồ dùng tin học,0,1
